Pair=Savings
(D, E)=1090,74
(E, D)=1090,74
(B, C)=1012,89
(C, B)=1012,89
(D, F)=957,12
(F, D)=957,12
(E, F)=956,54
(F, E)=956,54
(A, B)=908,0
(B, A)=908,0
(A, C)=883,51
(C, A)=883,51
(I, H)=818,52
(G, H)=755,56
(H, G)=755,56
(I, G)=602,93
(G, I)=594,04
(H, I)=592,27
(C, I)=555,57
(I, C)=555,57
(D, A)=455,81
(F, A)=450,5
(E, A)=449,92
(B, I)=404,33
(I, B)=404,33
(E, G)=331,0
(G, E)=331,0
(E, H)=329,22
(H, E)=329,22
(A, I)=307,1
(I, A)=307,1
(D, G)=305,9
(F, G)=305,9
(G, D)=305,9
(G, F)=305,9
(D, H)=304,13
(F, H)=304,13
(H, D)=304,13
(H, F)=304,13
(G, C)=270,53
(H, C)=268,76
(C, G)=255,4
(C, H)=255,4
(D, B)=199,1
(F, B)=193,79
(E, B)=193,21
(I, E)=190,3
(E, I)=181,41
(A, D)=180,93
(A, F)=180,93
(B, D)=180,93
(B, F)=180,93
(A, E)=180,35
(B, E)=180,35
(D, C)=177,39
(F, C)=172,08
(E, C)=171,5
(I, D)=165,21
(I, F)=165,21
(C, D)=159,22
(C, F)=159,22
(C, E)=158,63
(D, I)=156,31
(F, I)=156,31
(G, B)=119,29
(H, B)=117,51
(B, G)=104,16
(B, H)=104,16
(G, A)=22,06
(H, A)=20,28
(A, G)=6,93
(A, H)=6,93
(A, A)=0
(B, B)=0
(C, C)=0
(D, D)=0
(E, E)=0
(F, F)=0
(G, G)=0
(H, H)=0
(I, I)=0
